pathway,correlation,pval_corr,pval_mw,mean_high,mean_low,fold_change,qval,significant,abs_corr
Reactome_REACTOME_VITAMIN_D_CALCIFEROL_METABOLISM,0.06774867568821963,2.227515727159727e-06,2.2798881118413813e-06,0.3230923427789647,0.30279309902299795,1.067039981497151,3.935277784648851e-06,True,0.06774867568821963
Reactome_REACTOME_METABOLISM_OF_INGESTED_SEMET_SEC_MESEC_INTO_H2SE,-0.06658107873415625,3.321341124394832e-06,3.393822506778541e-06,0.17153405919926046,0.1864621283486653,0.9199404764838313,5.771510806325446e-06,True,0.06658107873415625
Reactome_REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM,0.06019295631252673,2.6352866710576204e-05,2.6725018946294965e-05,0.18023471424527526,0.16995113757864477,1.060509019316636,4.505490115033996e-05,True,0.06019295631252673
Reactome_REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,0.05996674319820957,2.8258312027122682e-05,2.8650897434440267e-05,0.2165947771023007,0.20282966010143735,1.0678654048622833,4.754573134722229e-05,True,0.05996674319820957
Reactome_REACTOME_METABOLISM_OF_STEROID_HORMONES,0.05913965596565903,3.640045084312862e-05,3.687649791077468e-05,0.16126503865571074,0.1546158767667351,1.0430043927442656,6.028824670893178e-05,True,0.05913965596565903
Reactome_REACTOME_GLYCOSPHINGOLIPID_BIOSYNTHESIS,-0.05882650998926461,4.002898744126018e-05,4.054051711007247e-05,0.10163792749589154,0.10934645467885012,0.9295036386355783,6.527804105805506e-05,True,0.05882650998926461
Reactome_REACTOME_VITAMIN_B2_RIBOFLAVIN_METABOLISM,0.057299427103671835,6.320549905334085e-05,6.392550480881924e-05,0.25301927397165164,0.23706598251129365,1.0672947307385106,0.00010151186211597167,True,0.057299427103671835
Reactome_REACTOME_SURFACTANT_METABOLISM,0.05541321449618193,0.00010945523203122416,0.00011053152308754926,0.1402738610727198,0.1336681299232033,1.0494188940423699,0.00017316797903447405,True,0.05541321449618193
Reactome_REACTOME_TRIGLYCERIDE_METABOLISM,0.05418662082551829,0.00015504013320452194,0.00015642103831832333,0.20300017655258834,0.19782684651868584,1.0261507986653058,0.00024168020764234302,True,0.05418662082551829
Reactome_REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0.05023264872655145,0.00045411224963819093,0.0004569939107772154,0.13624081612448644,0.12902239672566734,1.0559470261133592,0.0006976217168354818,True,0.05023264872655145
Reactome_REACTOME_LINOLEIC_ACID_LA_METABOLISM,0.04904034774979383,0.0006190465282365777,0.0006225691243597185,0.16872645037880032,0.15769890344722795,1.0699278605653881,0.0009374133141868177,True,0.04904034774979383
KEGG_KEGG_MEDICUS_REFERENCE_GLUCONEOGENESIS,0.048525891291953005,0.0007061598429432938,0.0007099892263750577,0.36757209449630235,0.3484873714903491,1.0547644608306324,0.001054266807774495,True,0.048525891291953005
Reactome_REACTOME_GLYCOSPHINGOLIPID_METABOLISM,-0.047484773309065774,0.0009183285279759811,0.0009228365680112583,0.22468599055628596,0.2295180285211499,0.9789470221751287,0.0013519836661868613,True,0.047484773309065774
KEGG_KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM,-0.044899267453059916,0.0017257790113330929,0.0017323057321300779,0.14489630843837303,0.15544625415687885,0.9321312322659211,0.0025059256876891487,True,0.044899267453059916
Reactome_REACTOME_GLYCEROPHOSPHOLIPID_CATABOLISM,0.044492191583215705,0.0019006907855332867,0.0019075771876880525,0.12357247126705012,0.11552152972689939,1.0696921306286689,0.0027226111252233566,True,0.044492191583215705
Reactome_REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM,0.04431415200678583,0.0019821891109940526,0.0019892426238025153,0.052160982072719804,0.049360017997125256,1.056745604828541,0.0028014939435382614,True,0.04431415200678583
Reactome_REACTOME_CREATINE_METABOLISM,0.044042851065904144,0.0021125599575404245,0.0021198533590861606,0.1066320238714051,0.10047992643983573,1.0612271291346242,0.002946465203937961,True,0.044042851065904144
Reactome_REACTOME_LYSOSPHINGOLIPID_AND_LPA_RECEPTORS,-0.043216862428864085,0.002559385283187148,0.0025674586644759195,0.05291740616392769,0.059689957565092405,0.886537841917894,0.0035233096106212693,True,0.043216862428864085
Reactome_REACTOME_GLYCOGEN_METABOLISM,0.04271832253703631,0.0028692992090788468,0.0028778556621354796,0.5531202156836483,0.5442006291379876,1.0163902540131005,0.003899304053363561,True,0.04271832253703631
Reactome_REACTOME_LIPID_PARTICLE_ORGANIZATION,0.042452689908228036,0.003048068301577385,0.003056900276281308,0.07229522356368118,0.07090386153798768,1.0196232193213914,0.004089813164141808,True,0.042452689908228036
